seq	moe_id	unicode_hex	unicode_int	char
00556	A00556	U+548C	21644	和
00557	A00557	U+549A	21658	咚
00558	A00558	U+5462	21602	呢
00559	A00559	U+5468	21608	周
00560	A00560	U+548B	21643	咋
00561	A00561	U+547D	21629	命
00562	A00562	U+548E	21646	咎
00563	A00563	U+54AC	21676	咬
00564	A00564	U+54C0	21696	哀
00565	A00565	U+54A8	21672	咨
00566	A00566	U+54CE	21710	哎
00567	A00567	U+54C9	21705	哉
00568	A00568	U+54B8	21688	咸
00569	A00569	U+54A6	21670	咦
00570	A00570	U+54B3	21683	咳
00571	A00571	U+54C7	21703	哇
00572	A00572	U+54C2	21698	哂
00573	A00573	U+54BD	21693	咽
00574	A00574	U+54AA	21674	咪
00575	A00575	U+54C1	21697	品
00576	A00576	U+54C4	21700	哄
00577	A00577	U+54C8	21704	哈
00578	A00578	U+54AF	21679	咯
00579	A00579	U+54AB	21675	咫
00580	A00580	U+54B1	21681	咱
00581	A00581	U+54BB	21691	咻
00582	A00582	U+54E8	21736	哨
00583	A00583	U+5510	21776	唐
00584	A00584	U+5501	21761	唁
00585	A00585	U+5537	21815	唷
00586	A00586	U+54FC	21756	哼
00587	A00587	U+54E5	21733	哥
00588	A00588	U+54F2	21746	哲
00589	A00589	U+5506	21766	唆
00590	A00590	U+54FA	21754	哺
00591	A00591	U+5514	21780	唔
00592	A00592	U+54E9	21737	哩
00593	A00593	U+54ED	21741	哭
00594	A00594	U+54E1	21729	員
00595	A00595	U+5509	21769	唉
00596	A00596	U+54EE	21742	哮
00597	A00597	U+54EA	21738	哪
00598	A00598	U+54E6	21734	哦
00599	A00599	U+5527	21799	唧
00600	A00600	U+5546	21830	商
00601	A00601	U+556A	21866	啪
00602	A00602	U+5566	21862	啦
00603	A00603	U+5544	21828	啄
00604	A00604	U+555E	21854	啞
00605	A00605	U+5561	21857	啡
00606	A00606	U+5543	21827	啃
00607	A00607	U+554A	21834	啊
00608	A00608	U+5531	21809	唱
00609	A00609	U+5556	21846	啖
00610	A00610	U+554F	21839	問
00611	A00611	U+5555	21845	啕
00612	A00612	U+552F	21807	唯
00613	A00613	U+5564	21860	啤
00614	A00614	U+5538	21816	唸
00615	A00615	U+552E	21806	售
00616	A00616	U+555C	21852	啜
00617	A00617	U+552C	21804	唬
00618	A00618	U+5563	21859	啣
00619	A00619	U+5533	21811	唳
00620	A00620	U+557B	21883	啻
00621	A00621	U+5580	21888	喀
00622	A00622	U+55A7	21927	喧
00623	A00623	U+557C	21884	啼
00624	A00624	U+558A	21898	喊
00625	A00625	U+559D	21917	喝
00626	A00626	U+5598	21912	喘
00627	A00627	U+5582	21890	喂
00628	A00628	U+559C	21916	喜
00629	A00629	U+55AA	21930	喪
00630	A00630	U+5594	21908	喔
00631	A00631	U+5587	21895	喇
00632	A00632	U+558B	21899	喋
00633	A00633	U+5583	21891	喃
00634	A00634	U+55B3	21939	喳
00635	A00635	U+55AE	21934	單
00636	A00636	U+559F	21919	喟
00637	A00637	U+553E	21822	唾
00638	A00638	U+55B2	21938	喲
00639	A00639	U+559A	21914	喚
00640	A00640	U+55BB	21947	喻
00641	A00641	U+55AC	21932	喬
00642	A00642	U+55B1	21937	喱
00643	A00643	U+557E	21886	啾
00644	A00644	U+5589	21897	喉
00645	A00645	U+55DF	21983	嗟
00646	A00646	U+55E8	21992	嗨
00647	A00647	U+55D3	21971	嗓
00648	A00648	U+55E6	21990	嗦
00649	A00649	U+55CE	21966	嗎
00650	A00650	U+55DC	21980	嗜
00651	A00651	U+55C7	21959	嗇
00652	A00652	U+55D1	21969	嗑
00653	A00653	U+55E3	21987	嗣
00654	A00654	U+55E4	21988	嗤
00655	A00655	U+55EF	21999	嗯
00656	A00656	U+55DA	21978	嗚
00657	A00657	U+55E1	21985	嗡
00658	A00658	U+55C5	21957	嗅
00659	A00659	U+55C6	21958	嗆
00660	A00660	U+55E5	21989	嗥
